window,n_test,sharpe,max_drawdown,win_rate,profit_factor,total_return,n_trades,total_pnl,final_capital
1,21,3.923,-0.0003,0.5,4.635,0.0008,4,8.56,10008.3
2,21,5.617,-0.0,1.0,inf,0.0,1,0.38,10008.67
3,21,2.043,-0.0008,0.5,2.464,0.0007,2,7.79,10015.85
4,21,10.793,-0.0001,1.0,inf,0.0013,1,12.89,10028.48
5,21,-4.145,-0.0024,0.0,0.0,-0.002,3,-19.21,10008.37
6,21,3.874,-0.0005,0.6667,2.848,0.0009,3,8.82,10016.75
7,21,3.678,-0.0004,1.0,inf,0.0007,1,6.97,10023.47
8,21,-1.744,-0.0012,0.3333,0.359,-0.0008,3,-7.43,10015.44
9,21,0.98,-0.0005,1.0,inf,0.0002,1,1.76,10017.02
10,21,3.576,-0.0004,0.5,3.116,0.0008,2,7.95,10024.64
11,21,7.872,-0.0003,1.0,inf,0.0013,1,12.58,10036.91
12,21,0.88,-0.001,0.5,1.205,0.0002,2,1.99,10038.3
13,21,3.919,-0.0013,1.0,inf,0.0018,1,18.28,10056.16
14,21,4.791,-0.0004,0.4,3.75,0.0013,5,13.25,10068.89
15,21,-2.285,-0.0014,0.4,0.569,-0.0009,10,-8.41,10060.02
16,21,0.884,-0.0004,0.3333,1.42,0.0002,6,1.85,10061.61
17,21,4.479,-0.0005,0.6667,4.225,0.001,3,9.89,10071.24
18,21,1.357,-0.0017,1.0,inf,0.0009,1,9.15,10080.07
19,21,6.105,-0.0005,1.0,inf,0.0018,2,18.29,10098.1
20,21,7.484,-0.0012,1.0,inf,0.0032,2,32.76,10130.32
21,21,-3.906,-0.0034,0.25,0.153,-0.0023,4,-23.18,10106.37
22,21,0.899,-0.0009,1.0,inf,0.0003,1,2.91,10109.1
23,21,5.017,-0.0008,0.5,12.546,0.0028,4,28.88,10137.41
24,21,4.071,-0.0007,1.0,inf,0.0012,1,11.76,10148.86
25,21,0.564,-0.0009,0.5,1.405,0.0003,2,3.06,10151.24
26,21,-0.078,-0.0019,0.0,0.0,-0.0,1,-0.35,10150.64
27,21,-0.626,-0.0012,0.3333,0.764,-0.0003,3,-2.18,10147.88
28,21,4.186,-0.0005,0.6667,6.24,0.0012,3,12.41,10159.6
29,21,-1.556,-0.0023,0.3333,0.658,-0.0008,3,-7.83,10150.78
30,21,7.03,-0.0005,1.0,inf,0.0028,1,28.28,10178.62
31,21,3.763,-0.0011,1.0,inf,0.0015,1,14.76,10192.93
32,21,2.849,-0.0008,1.0,inf,0.0008,1,8.19,10200.74
33,21,-3.437,-0.0023,0.3333,0.265,-0.0015,3,-14.75,10184.58
34,21,5.468,-0.0005,0.6667,5.233,0.0019,3,19.51,10203.21
35,21,4.131,-0.0007,1.0,inf,0.0011,1,11.36,10214.27
36,21,1.233,-0.001,0.3333,1.936,0.0004,3,4.94,10218.77
37,21,-9.675,-0.0043,0.0,0.0,-0.0043,7,-42.49,10174.37
38,21,4.381,-0.0004,0.6667,4.215,0.0009,3,9.51,10183.57
